jaya jaya bhAgavata deva jaya jaya bhAgavata | mAlavam - Adi
jaya jaya geethe | mAlavam - Adi
nikhilajagadgurumAshraye hariM | kAmbhOji - Adi
dhyAyAmi sadA shrIgurudevam | bihAg - Adi
shrIhayavadanaM praNamAmi shirasA vachasA manasA | rItigowLa - Adi
sharaNaM bhaja re jagadguruM - mAnasa | shankarAbharaNam - tripuTa
vaTatarumUle vilasati devaH | bihAg - Adi
govindapurImahaM praNamAmi | sihmEndramadhyamam - Adi
bhaja re mAnasa govindapurIm | sArangA - Adi
bhagavannAmabodhendraM sadA bhaja re mAnasa deshikendram | kEdAragowLa - Adi
tvameva mama sharaNaM -he gurunAtha | sihmEndramadhyamam - Adi
vIkShe kadA sadgurunAtham | jOnpurI - Adi
kAraNarahitakRipAnnidhirekaH sadgurunAtho nAnyaH satyam | jOnpurI - Adi
svAgataM svAgataM sadgurunAtha svAgataM svAgataM mama gurunAtha | bhAgEshrI - Adi
pUrNAhaM paripUrNohaM kAraNarahitagurukRipayA | dESh - Adi
kShaNamapi tava padachChAyAyAM mAM mA tyaja karuNayA gurunAtha | sAvEri - Adi
karakamalaM mama sirasi nidhAya karuNAnchakre gurunAthaH | mANDu - Adi
sadgurucharaNaM bhajata durjanasaNgaM tyajata | varALi - Adi
harireva gururgurureva hariH | senjurutti - Adi
gururmAtA guruH pitA gurureva mama kuladevatA | kEdAragowLa - Adi
vijayI bhavatu gurunAthaH vijayI bhavatu mama nAthaH | dESh - Adi
bhaja re mAnasa hRidayAbharaNam bhagavannAmabodhendracharaNam | mOhanam - Adi
shrIdharaveNkaTeshamAshrayeham | shankarAbharaNam - tripuTa
bhare gururAjaM mAnasa | khamAs - Adi
kaTAkShanchakre veNkaTarAmaH kRipayA sadgurusArvabhaumaH | bhairavi - Adi
veNkaTarAmadeshikavaryaM vAraM vAraM bhaje.aham | dhanyAshi - Adi
vijayagopAlayativaramIDe viShayavairAgyajnAnabhaktipradaM | kAmbhOji - Adi
sheShvasukhaM -shrIgurunAtha | rItigowLa - Adi
suprasanno bhava shrIgurunAtha | bhUpAlam - chApu
jaya jaya maNgaLaM jaya jaya maNgaLaM jaya jaya maNgalaM shrIgurunAtha | suruTTI - Adi
sajjanasaNgaM dehi sarasijalochana mAM pAhi | mukhAri - Adi
sajjanasaNgaM bhajare -kShaNamapi durjanasaNgaM tyajare | suruTTI - tripuTa
vaiShNavamenamavehi -mAnasa | kharaharapriyA - Adi
dAsohaM kila haridAsAnAm | punnAgavarAlI - Adi
koTijanmapuNyasAdhanasAdhyam govindadAsamaNDaladAsyam | dhanyAshi - Adi
bhAgyamaho mama bhAgyamaho bhAgavatAnAM saNgena | punnAgavarAlI - Adi
pAdareNumahaM praNamAmi | kEdAragowLa - Adi
saNgaM dehi bhagavan -mahatAm | senjurutti - Adi
pibare nAmarasaM - rasane | bihAg - Adi
sakRidapi yo japati -sa hi dhanyaH | suruTTI - Adi
tasya mukhe harinAma jayati | bihAg - Adi
nAmarasaM na hi jAnAti -bhavarogI | kharaharapriyA - Adi
anirvachanIyaM nAmavaibhavam | sihmEndramadhyamam - Adi
santataM japa rasane -shrIharinAma | bilahari - Adi
tArakamantraM japa re rasane | suruTTI - Adi
auShadhametatparamam -shrIharinAma | pantuvarALi - Adi
nivasati rasanAyAM -bhagavAn | kApi - Adi
nAmarasaM pibare - rasane | senjurutti - Adi
pare harinAma kalau | AbhOgi - Adi
nAmajapaM kuru re -sadA | sAmA - Adi
sharaNaM harinAma - teShAm | hindOLam - Adi
japa re mama rasane madhuram | kalyANi - Adi
kIrtayare madhuraM sadA | tODi - Adi
vaiShNavatattvaM jayatu bhuvane | khamAs - Adi
bhajare bhagavantam mAnasa | bEgaDa - Adi
paramakRipAluH kila bhagavAn bhaktaM paripAlayati shrImAn | kEdAragowLa - Adi
bhaktyA sulabho bhagavAn -mAnasa | senjurutti - Adi
premabhaktiM kuru re mAnasa | suruTTI - Adi
bhaktivihInaM jnAnam paramArthe bahu dInam | kharaharapriyA - Adi
aharahariha bhuvane satataM kila jananamaraNAnyagaNitAni | bhairavi - Adi
dhik dhik dhik etAnnarAn | aThANA - Adi
bhaktimeva kuru -mAnasa | jOnpurI - Adi
mAye tvaM yAhi mAdhava kRipayA paripUrNoham | aThANA - Adi
kiM kariShyati mAM mAyA kRiShNakRipAparipUrNam | mOhanam - Adi
chintA nAsti kila teShAm | senjurutti - Adi
chintA nAsti kila mama | senjurutti - Adi
yogakShemam vahati bhagavAn | abhaNgaghATi - Adi
eko devo nArAyaNaH sRiShTisthitilayakAraNaH | bhUpAlam - Adi
harireva paro harireva paro harireva paro mUDhamate | mOhanam - Adi
tattvatrayamidaM jAnIhi -mAnasa dAmodarapadaM prApnuhi | bEgaDa - Adi
krIDati bhagavAnantaryAmI | kuntalavarALi - Adi
sarvaM kRiShNamayam -re mAnasa | bihAg - Adi
mayi karuNA tava mA bhavatu mAdhava mayi tavopekShA bhavatu | yadukulakAmbhOji - Adi
saNkalpo yathA tathA kuruShva shrImuralIdhara gokulesha | hindOLam - Adi
tava charaNasmaraNaM na hi yadi narajanma na tatkharajanma | kharaharapriyA - Adi
maNgaLAlaya govinda mandabhAgye mayi prasIda | sahAnA - Adi
kAladesharahitaM kAruNyaM tava sharaNaM bhajAmi mAmava | sAvEri - Adi
tAvaka mahimA kena varNyate | sihmEndramadhyamam - Adi
harikRipAmeva jAne -nAnyaM jAne | khamAs - Adi
kAruNyasindho tvayi mInohaM lAvaNyasindho tvayi makaroham | bhairavi - Adi
kaTAkShavIkShaNabalaM vinA mama kiM phalamanyasAdhanaiH | nAdanAmakriyA - Adi
dIno.ahaM bahu dIno.aham dInadayAlo dIno.aham | asAvEri - Adi
tava kaTAkShavIkShaNaM alam dAmodara mama janma saphalam | sAvEri - Adi
sukhayati mAM bhagavAn -sadA | mOhanam - Adi
dAmodara tava dAsaM pAhi tava padayugalabhaktiM dehi | bhairavi - Adi
