Dhyana Slokam & Jaya Jaya Deva | shankarAbharaNam - Adi
Naradam Pranamami | kEdAram - Adi
Bhajare Vyasadevam | bEgaDa - Adi
Bhajare Manasa Sri Sukadevam | bihAg - Adi
Pibare mama rasane | khamAs - Adi
Bhagavatham Srunutha | shrIragnjanI - Adi
Avatheerno jayathi | vasantA - Adi
Gachchathi nandagruham | Ahiri - Adi
Gokulamaaseeth paramanandam | bowli - Adi
Smaraami santhatham | nIlAmbari - M chapu
Nirmamantha dadhi | bhUpAlam - Adi
Pachati yashoda | shrIrAgam - Adi
Laalayathi yashoda | suruTTI - Adi
Chumbathi yashoda | hindOLam - Adi
Madhava Madhava maa yahi | mOhanam - Adi
Yehi Nanda Nandana | suruTTI - Adi
Snaapayati Yashoda | pantuvarALi - Adi
Snaapayati Yashoda | malayamArutam - Adi
Bhooshayati Yashoda | kuntalavarALi - Adi
Roditi balamukundo | dhanyAshi - Adi
Amba dehi me | kEdAragowLa - Adi
Koyamantarbhavane | aThANA - Adi
Nanadakumaaram anuyaama | yadukulakAmbhOji - Adi
Amba yasode kathitam | husEnI - Adi
Bheeshayati Yasoda | bihAg - Adi
Yehi bala gopala | punnAgavarAlI - Adi
Amba yasode maakuru kopam | sArangA - Adi
Aagaccha gopala | bhairavi - Triputa
Bhakshayati Bhagavaan | bilahari - Adi
Bhajare manasa gopalam | dESh - Adi
Babanda yashoda | sihmEndramadhyamam - Adi
Amba yashode | tODi - Adi
Aananda: saha nandagruhe | kalyANi - Adi
Yaahi muraare | kEdAragowLa - Adi
Preshayati Yasoda | bihAg - Adi
Pashyata pashyata | malayamArutam - Adi
Nandakumaro vijayate | kalyANi - Adi
Bhajare manasa nandakishoram | sArangA - Adi
Nrutyati giridhari | sindhubhairavi - Adi
Kreedati yamunaasalile | kuntalavarALi - Adi
Krishnam bhaje sada | khamAs - Adi
Avalokaya sakhi | bihAg - Adi
Viharati yamunatheere | kharaharapriyA - Adi
Pashyata nandabalam | madhyamAvati - Adi
Bhajare gopalam | dhanyAshi - Adi
Nrutyati paramatmaa | punnAgavarAlI - Adi
Vaadayate muraleem | senjurutti - Adi
Kreedati brundaranye | bhUpAlam - Adi
Bhagyamaho kila | kApi - Adi
Gokularaja nandano vijayate | kalyANi - Adi
Viharati haririha | kAmbhOji - Adi
Manmatha manmatho | Arabhi - Adi
Kaatyayani devi | kAnaDA - Adi
Pranamami sada bala gopalam | bhUpAlam - Adi
Kreedati vanamali | khamAs - Adi
Bhagyamaho bata | sihmEndramadhyamam - Adi
Paalayati swajanam | AnandabhairavI - Adi
Pashyata pashyata | senjurutti - Adi
Aagaccha gopala | darbAr - Triputa
Kaachidyamuna | sindhubhairavi - Adi
Bhajare manasa | shankarAbharaNam - Triputa
Palaya madanagopala | punnAgavarAlI - Adi
Nrutyati vanamali | kApi - Adi
Dhanya vayamaho | mOhanam - Adi
Sharanam tvameva | hindOLam - Adi
Viharati bhagavaan | madhyamAvati - Adi
Nrutyati gopirasiko | mOhanam - Adi
Nrutyati vanamali | madhyamAvati - Adi
Nrutyati rasavihari | mANDu - Adi
Bhajata mukundam | sindhubhairavi - Aanandabhairavi
Yaasyami kada | kalyANi - Adi
Veekshe nu kada | punnAgavarAlI - Adi
Veeksheham kada | Ahiri - Adi
Govindam aham drkshyami | kAmbhOji - Adi
Vilutathi brundatavyaam | kApi - Adi
Mathuraam prayayau | mOhanam - Adi
Vijayate Madhuraayaam | kAnaDA - Adi
Haa hantha | asAvEri - Adi
Veeksheham kada | mukhAri - Adi
Veekshe kadaaham | jOnpurI - Adi
Kvasi kvasi | sihmEndramadhyamam - Adi
Shuddham prema | sArangA - Adi
Madhukara madhuraam | kharaharapriyA - Adi
Palaya maam | kAnaDA - Adi
Shobanam Rukmini | shrIrAgam - Adi
Rajati bhagavan | nATTai kurunji - Adi
Ashtamahishi | AnandabhairavI - Adi
Karhitchit bhavane | mANDu - Adi
Sarvottamaha | kharaharapriyA - Adi
Sharanam Sharanam | sihmEndramadhyamam - Aanandabhairavi
Bhavaya re | madhyamAvati - Adi
Bhagyavati saa | sArangA - Adi
Pashyata veerarase | aThANA - Adi
Bhakto mama kila | kApi - Adi
Satyam satyam | hindOLam - Adi
Bhakta samarpitam | sindhubhairavi - Adi
Charanarajo | khamAs - Adi
Aprakruta vatapatre | sindhubhairavi - Adi
Rukminideveem | kharaharapriyA - Adi
Vandanamastu te | asAvEri - Adi
Gopikaramanaya | punnAgavarAlI - Jampa
