Dhyana Slokam | Kunthalavarali
Jayathi Jayathi Srimad Vrajarajadhani | Kunthalavarali - Kanda Chapu 
Ahamekagopi Bhagyavathi | Sowrashtram - Adi
Viharasadha Sri Radhe | Jonpuri - Adi
Bhakthim dehi SriRadhe | Kanada - Adi
Kim mama varaneeyam | Panthuvarali - Adi
Radhamadhava Yugalam | Varali/Yamunakalyani - Adi
Jaya Jaya devi | Behang/Maandu - Adi
Raasa Viharini Namo Namo | Madhyamavati - Adi
Nivasathi Goloke | Bilahari - Adi
Avatheerna jayathi | Vasantha - Adi
Gopapuri jayathi | Kapi - Adi
Kreedathi Vrushabhanugruhe | Sindubairavi - Adi
Viharati Banugruhe | Behag - Adi
Snapayathi Sri Radhaam | Sriranjani - Adi
Booshayathi Sri Radham | Kunthalavarali - Adi
Viharathi Gopapure | Surutti - Adi
Nrutyati Sri Vrushabhanukumari | Maandu - Adi
Gayati Vrushabhanugruhe | Saraswathi - Adi
Kreedathi Vrushabhanukishori | Ragamalikai - Adi
Evam Radhamadhava charitham | Desh - Adi
Shithilithakeki | Saranga - Adi
