Dhyana Slokam & Prachethasamaham | kEdAram - Adi
Bhajare mananasa sri hanumantham | kalyANi - Adi
Janakanandineem | kEdAragowLa - Adi
Jaya Jaya Dasaratha | nATTai - Adi
Maamakakuladeva | rItigowLa - Adi
Rajati saketanagari | kuntalavarALi - Adi
Vijayate bhagavaan | kEdAragowLa - Adi
Kreedati dasarathihi | AbhEri - Adi
Gacchati rajakumaraha | nIlAmbari - Adi
Rajati raghuveeraha | bilahari - Adi
Bhagyamaho | kAnaDA - Adi
Koyam vada me | Arabhi - Adi
Manimayamandire | bihAg - Adi
Shobanam Seetaraghavayoho | shrIrAgam - Adi
Vilasati Raghuveeraha | bhUpAlam - Adi
Anandanandane | mANDu - Adi
Rajati raghunaataha | bilahari - Adi
Avalokaya sakhi | sOhinI - Adi
Viharati raghavendraha | kApi - Adi
Kreedati seetayaa | dESh - Adi
Aalokaya sakhi | AnandabhairavI - Adi
Viharati raghuveeraha | sAmA - Adi
Kreedati raghunaataha | sindhubhairavi - Adi
Bhagyamaho | kEdAragowLa - Adi
Rajati raghukula | Arabhi - Adi
Rajati rajasabhaayaam | pantuvarALi - Adi
Bhaktavatsalam maam | sOhinI - Adi
Purushottamamiha | mOhanam - Adi
Uttama putra ratnam | varALi - Adi
Rajati simhasane | bilahari - Adi
Vandanamastu te | sihmEndramadhyamam - Adi
Poornakaladhara | husEnI - Adi
Rajarajendro | aThANA - Adi
Mangalam bhavatu te | suruTTI - Adi
Pranavallabha | hindOLam - Adi
Haa Haa Raghava | senjurutti - Adi
Pourajanaaha | kEdAragowLa - Adi
Rama padacchayaam | sAvEri - Adi
Mandasameere GAngatheere | bhAgEshrI - Adi
Sree raghunandana | sahAnA - Adi
Naaham maam prati | nAdanAmakriyA - Adi
Maa kuru shokam | khamAs - Adi
Viharati sakam priyaya | kuntalavarALi - Adi
Viharati raghunaataha | pantuvarALi - Adi
Chintayare Sri ramam | madhyamAvati - Adi
Kreedati chitrakoote | AbhEri - Adi
Viharati vaidehi | sindhubhairavi - Adi
Bhooshayati vaideheem | malayamArutam - Adi
Pashya mythili | sArangA - Adi
Bhagyamaho vana nilayaanaam | kalyANi - Adi
Haa hanta haa hanta | asAvEri - Adi
Shri rama meva deivatam | khamAs - Adi
Drakshyami kada | Ahiri - Adi
Dhanyam tameva | kharaharapriyA - Adi
Bhagavatottamam Bharatam | sahAnA - Adi
Maataram papachaarineem | nAdanAmakriyA - Adi
Veekshe kadaaham | jOnpurI - Adi
Pranamati Raghunatham | kApi - Adi
Swamin Sweekuru samrajyam | yadukulakAmbhOji - Adi
Palayamaam | AnandabhairavI - Adi
Sancharati vane | kalyANi - Adi
Swagatham Swagatham | bhAgEshrI - Adi
Adya me janma | kAnaDA - Adi
Pashyata Raghuveeram | madhyamAvati - Adi
Aanaya Raghava harinam | tODi - Adi
Harati duraatma | aThANA - Adi
Darshaya janakatanayaam | mukhAri - Adi
Gaccha vibho | varALi - Adi
Bhajare manasa | sArangA - Adi
Taamevda chintayan | yamunAkalyANi - Triputa
Raghava maa kuru dainyam | nIlAmbari - Adi
Paramapurusha tvaam | mOhanam - Adi
Sumitranandana | sahAnA - Adi
Aparaadhaan mama | punnAgavarAlI - Adi
Nivasati raghavo | asAvEri - Adi
Pranamata vayukumaram | madhyamAvati - Adi
Janakanandineem pashyami | mOhanam - Adi
Anguleeyakamidam | AnandabhairavI - Adi
Jayati Jayati | aThANA - Jampa
Raghavamavehi | kEdAragowLa - Adi
Kreetoham tvayaa | hindOLam - Adi
Raamamavehi | bhairavi - Adi
He raghuveera | sihmEndramadhyamam - Adi
Shrunu mama sahajaswabhavam | suruTTI - Adi
Sarasasameere | Ahiri - Adi
Aagacchati rane | aThANA - Adi
Raghukula thilakam | kAmbhOji - Adi
Vayukumaro | Arabhi - Adi
Sarvamangalam | mOhanam - Adi
Sarvam Ramamayam | khamAs - Adi
Nashyati noonam | madhyamAvati - Adi
Pashyata raghuku | shrIrAgam - Adi
Bhajare manasa | kalyANi - Adi
Rajathi simhasane | aThANA - Adi
Rajathi raghuveeraha | mOhanam - Adi
Tvameva mama | bEgaDa - Adi
Bhajare re | kharaharapriyA - Adi
Palaya maam raghuveera | kAnaDA - Adi
Janamani janmani | sahAnA - Adi
Jaya Mangalam | punnAgavarAlI - Chaapu
