











Ramalingam | Kedaragowlai - Adi































Arunachaleshwaram | Brindavanasaaranga - Adi





Sri shailesham | Anandabhairavi - Adi










Trimbakeshwar | Kedaragowlai - Adi


Vaidyanatham | Panthuvarali - Adi
Bheemashankaram | Bhoopalam - Adi
Nageshwaram | Arabhi - Adi
Ghushmeshwaram | Simhendramadhyamam - Adi
Omkareswaram | Kamboji - Adi
Mahakalam | Saveri - Adi
Someshwaram | Thodi - Adi

















Hara Hara Shankara | Sowrashtram - Adi







Kedareswaram | Kamboji - Adi

























Jaya Jaya Srinivasa | Kedaram - Adi














