Smarane Sukham | nATTai - Adi
Naaham Jane | hindOLam - Adi
Manasa Sanchara | mOhanam - Adi
Bhajare Manasa Bhavana Bhuvanam | kEdAragowLa - Adi
Vasobhavathu Me Brindavane | kEdAram - Adi
Brindavanamaham Smarami | vasantA - Adi
Sukayathi Brindaranyam | tODi - Adi
Sukayathi Brindaranyam | pantuvarALi - Adi
Smarare Brindavanam | AbhEri - Adi
Sarasvam Mama Sri Brindavanam | sArangA - Adi
Sharanam Bhajami Brindavanam | mANDu - Adi
Sarvam Mithunamayam | khamAs - Adi
Sarvam Premamayam | senjurutti - Adi
Sarvam Shyamamayam | sihmEndramadhyamam - Adi
Vilasathi Poornakalabhirlalitha | jOnpurI - Adi
Sarvam Yugalapremamayam | mANDu - Adi
Chalayamuna Theeram | bihAg - Adi
Riturajoyam Vijayathe | vasantA - Adi
Brindaranyam Gacchami | husEnI - Adi
Madhuram Madhuram Aho Madhuram | kharaharapriyA - Adi
Saarasarvasawanidham He Sakhi | shankarAbharaNam - Triputa
Anubhoothamidam Prakruthi Saundaryam | harikAmbOji - Adi
Ahamekovrajavasi | sindhubhairavi - Adi
Ahamapi Radha Dasi | sindhubhairavi - Adi
Bhagyamidham Mama Vrajarajye | mANDu - Adi
Svartha Lesha Rahitam | navarasa kAnaDA - Tisram
Premaiva Sada Jayathi | dESh - Adi
Jayathi Premadhanam Loke | AbhEri - Adi
Bedho Naasthi Premikasya | sArangA - Adi
Sukayathi Me Hrudayam | kAnaDA - Adi
Smarami Santhatham | kAmbhOji - Triputa
Bhavayami Nandabalam | senjurutti - Roopakam
Chintaya Re Sada Radhikam | shankarAbharaNam - Triputa
Rajati Mama Hridaye | tODi - Adi
Sri Krishna Madhuri | sArangA - Adi
Vilasathi Sri Krishna Maadhuri | kuntalavarALi - Adi
Jaya Jaya Jaya Sri Murali Lola | dESh - Adi
Jaya Jaya Krishna | sArangA - Adi
Vijayeebhava Sri Gopala | nATTai kurunji - Adi
Vijayeebhava Sri Rasikendra | darbAr - Adi
Swagatham Vrajesha Kumara | mOhanam - Adi
Kunjakuteere Vihara Sundara Bringa | sAmA - Adi
Nrutyati Brindavane Mayuraha | mOhanam - Adi
Kreedathi Radhikaya Shukaha | pantuvarALi - Adi
Gayathi Kokilo Brindavane | senjurutti - Adi
Koojati Murali Madhuram | shrIragnjanI - Adi
Ranayati Madhuram Veenaam | nIlAmbari - Adi
Ramayati Champakavalli | sowrAShTram - Adi
Viharati Brindaranye Harini | shrIrAgam - Adi
Chanchati Sri Hari Kante Mala | sarasvatI - Adi
Shinchati Sri Hari Charane | rItigowLa - Adi
Viharati Sri Yugalam | sindhubhairavi - Adi
Vilasati Sri Vrushabhanusuta | bhAgEshrI - Adi
Gacchati Gopa Kanya | AbhEri - Adi
Vada Sakhi Kinchidvanite | kApi - Adi
Kapata Mruduhasa Kaamavilasa | aThANA - Adi
Dahati Mae Hrudayam Radhe | mukhAri - Adi
Aagatavanasi Asamaye | khamAs - Adi
Natavara Ma Kuru Hattam | kAnaDA - Adi
Viphaloyam Ma Ma Parishramaha | bEgaDa - Adi
Vada Sakhi Kokilavani | kharaharapriyA - Adi
Srivrajaraja Nandana Kataakshena | bhairavi - Adi
Shrunu Sakhi Mohana Murali | dESh - Adi
Brindavanam Yaahi Radhe Radhe | jOnpurI - Adi
Rati Rasika Vrajayuvati | ghaNTA - Jampa
Kalindithata Kunjabhavane | hindusthAnI kApi - Adi
Sooryaja Teere Sundari Nikare | jOnpurI - Adi
Tuhinakirana Sheethale | sOhinI - Adi
Kaka Koka Keki Hamsa Sharikadi | mOhanam - Adi
Madhavi Malati Mallikalankruthe | kApi - Adi
Ghanashyamala Sundarakruthi | AnandabhairavI - Roopakam
Radhadhara Madhu Rasika | sindhubhairavi - Adi
Agachchati Sakhi Sri Vanamali | bhUpAlam - Adi
Sooranandini Sukhakara Suthate | sArangA - Adi
Mandasameere Yamunateere Nandakumaro | nIlAmbari - Adi
Poojayati Radha Bhuvanaika Sundaram | mANDu - Adi
Jayati Sri Vrushabhanusuta | bihAg - Adi
Tarunibida Ravitanaya Thata | sArangA - Jampa
Lalita Lochanaananda Sri Mukha | Arabhi - Adi
Jaganmohana Sundarakara | sarasvatI - Adi
Matthagajendra Gamana | kAmbhOji - Triputa
Venuganarasika Krishna | tODi - Roopakam
Aalokaye Sakhi Sri Yugalam | kalyANi - Adi
Chandrasamana Sundara Mukha | kharaharapriyA - Adi
Radha Madhava Prema Rahasyam | harikAmbOji - Adi
Radha Madhava Dasi | nAdanAmakriyA - Adi
Kalayasi Kim Mayi Karunaa | rItigowLa - Adi
Maa Kuru Maanam Radhe | sindhubhairavi - Adi
Yehi Gopala Sri Vanamala | nATTai kurunji - Adi
Shrunu Sakhi Nikunja Rahasyam | vasantA - Adi
Karunayavalokaya Daseem Mam | sAvEri - Adi
Santatham Pranamami | kEdAram - Adi
Brindavaneshvari Palaya Mam | kApi - Adi
Brindavana Kunjanilaye Radhe | hindOLam - Adi
Tava Charanambhujam Yeva Gathirme | AbhEri - Adi
Radha Priyajagan Mohana Showre | sindhubhairavi - Adi
Tava Katakshena Sarvam Paripoornam | sAvEri - Adi
Sharanam Bhajami Sri Yugalam | sihmEndramadhyamam - Adi
Tathsukam Bhavatu Te Madhava | suruTTI - Adi
Jaya Jaya Mangalam Sri Radhe | suruTTI - Adi
